3.0000000000000000e+00	-2.4746958755352856e-11	-2.1215978321102701e-10	2.1210612282670080e-10	-2.4558220931776335e-11	1.1159162055757016e-12	-1.3283237799465262e-13	-3.0287168324710707e-07	3.2181768745584316e-08	-3.0453938431357520e-08	-3.0477324320234803e-07	-6.1411234604295178e-10	-3.2986480601713980e-09
3.1099999999999879e+00	-3.4989921883469213e-11	-2.6402539738785244e-10	2.4405590371640216e-10	-2.8282484907785916e-11	1.3290195303232304e-12	-1.5886340718784751e-13	-3.5008044688234109e-07	3.6849040002683825e-08	-3.5242131008787825e-08	-3.5092695306275534e-07	-7.4909521134712659e-10	-3.9558662744301925e-09
3.2199999999999758e+00	-3.2068721450867327e-11	-2.7229026003859120e-10	2.8206106818863722e-10	-3.2931801489340711e-11	1.5932907005737854e-12	-1.9266972392856182e-13	-4.0238468769666606e-07	4.2055806983445182e-08	-4.0530427753529086e-08	-4.0239059236350257e-07	-8.9992687706463790e-10	-4.7155200880387854e-09
3.3299999999999637e+00	-5.0183441579827040e-11	-3.7808566149502374e-10	3.2557960976655081e-10	-3.8282299862367375e-11	1.9079452211570500e-12	-2.3310290672561537e-13	-4.6016738328719494e-07	4.7829495869004400e-08	-4.6269086428004706e-08	-4.5911523474089503e-07	-1.0697333748288677e-09	-5.5874590309179075e-09
3.4409999999999514e+00	-3.9539737501665367e-11	-3.5266995144312940e-10	3.7248549070252195e-10	-4.4150218966209828e-11	2.2585158532819295e-12	-2.7909218292663787e-13	-5.2442868419755972e-07	5.4260818575889806e-08	-5.2682218975181619e-08	-5.2266773296303711e-07	-1.2702494716212247e-09	-6.5930795855261397e-09
3.5509999999999393e+00	-5.7716055210456571e-11	-4.7075454227440683e-10	4.2371024183337651e-10	-5.0689570087196952e-11	2.6544386992549512e-12	-3.3221212964938933e-13	-5.9439867353034420e-07	6.1264024556210425e-08	-5.9538290847069992e-08	-5.9150818335963336e-07	-1.4964583053241434e-09	-7.7265039607627383e-09
3.6609999999999272e+00	-6.4043007944289693e-11	-5.1615651316488698e-10	4.8470437869343758e-10	-5.8422613994218667e-11	3.1443521676764757e-12	-3.9734032137508411e-13	-6.7101243314051854e-07	6.8925135543978154e-08	-6.7039139714871624e-08	-6.6716873698111289e-07	-1.7395964282378953e-09	-9.0135873181780116e-09
3.7709999999999151e+00	-7.5640015792386151e-11	-5.6266065295424195e-10	5.4898555863902759e-10	-6.6886367804973157e-11	3.6767380624405957e-12	-4.7114859490971213e-13	-7.5470146466127859e-07	7.7280174371190587e-08	-7.5176892107247213e-08	-7.4985065631592069e-07	-2.0209451565253659e-09	-1.0465027896066747e-08
3.8819999999999029e+00	-8.4856491156299824e-11	-6.6092079832917093e-10	6.1940491854283320e-10	-7.6302341250412385e-11	4.2782282216175658e-12	-5.5607816414855192e-13	-8.4673902948634546e-07	8.6449273693717052e-08	-8.4076272743061266e-08	-8.4058683148732212e-07	-2.3415170999607564e-09	-1.2109880850535823e-08
3.9919999999998907e+00	-9.5207720761078958e-11	-7.0081471967901579e-10	6.9736368022864214e-10	-8.6704137934812991e-11	4.9655959170798731e-12	-6.5302226010299949e-13	-9.4588700263860226e-07	9.6302496733287391e-08	-9.3618240185544296e-08	-9.3853724432032128e-07	-2.6912769609767038e-09	-1.3939547548883291e-08
